================================================================================
HMM 状態別デコード分析  k=9
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
────────────────────────────────────────────────────────────────────────────────
  State 8: S8
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  deeeese            85.7%      0%    100%    100%
  eeedeed            85.7%    100%    100%      0%
  eeoeety            85.7%    100%    100%      0%
  eetees             83.3%    100%    100%      0%
  eeedy              80.0%    100%    100%      0%
  eeeey              80.0%    100%    100%      0%
  eesey              80.0%    100%    100%      0%
  esedy              80.0%    100%    100%      0%
  eddy               75.0%    100%    100%      0%
  eedy               75.0%    100%    100%      0%
  eeer               75.0%    100%    100%      0%
  eees               75.0%    100%    100%      0%
  eeey               75.0%    100%    100%      0%
  eesy               75.0%    100%    100%      0%
  eses               75.0%    100%    100%      0%
  keedeedy           75.0%      0%    100%      0%
  aekeeey            71.4%      0%    100%      0%
  chekeek            71.4%      0%     80%    100%
  oeeesoy            71.4%      0%    100%      0%
  oekeedy            71.4%      0%    100%      0%
  okoeese            71.4%      0%     80%    100%
  qeedeey            71.4%      0%    100%      0%
  cheeoekey          66.7%      0%     86%      0%
  cheoekeey          66.7%      0%     86%      0%
  choeee             66.7%      0%     75%    100%
  choeteedy          66.7%      0%     86%      0%
  deedes             66.7%      0%    100%      0%
  deeedy             66.7%      0%    100%      0%
  deeety             66.7%      0%    100%      0%
  dkeeeg             66.7%      0%    100%      0%


================================================================================
HMM 状態別デコード分析  k=10
  語頭=位置0, 語中=位置1〜L-2, 語末=位置L-1 (BOS/EOS 除外)
================================================================================

────────────────────────────────────────────────────────────────────────────────
  State 0: S0
────────────────────────────────────────────────────────────────────────────────
  単語                   占有率      語頭      語中      語末
  ---------------- -------  ------  ------  ------
  acheody             0.0%      0%      0%      0%
  ackaldy             0.0%      0%      0%      0%
  acthedy             0.0%      0%      0%      0%
  adairchdy           0.0%      0%      0%      0%
  adal                0.0%      0%      0%      0%
  adam                0.0%      0%      0%      0%
  adar                0.0%      0%      0%      0%
  adchey              0.0%      0%      0%      0%
  adeeody             0.0%      0%      0%      0%
  ador                0.0%      0%      0%      0%
  ady                 0.0%      0%      0%      0%
  aeeodeey            0.0%      0%      0%      0%
  aekeeey             0.0%      0%      0%      0%
  aes                 0.0%      0%      0%      0%
  ag                  0.0%      0%    N/A      0%
  aicky               0.0%      0%      0%      0%
  aiees               0.0%      0%      0%      0%
  aifhhy              0.0%      0%      0%      0%
  aifhy               0.0%      0%      0%      0%
